id,name,description,category,brand
16,Nón Bảo Hiểm Nửa Đầu Cao Cấp,"Mũ bảo hiểm với thiết kế đơn giản nhưng lại tinh tế và sang trọng phù hợp với tất cả mọi người, đặc biệt là những bạn trẻ trung.",Ô Tô & Xe Máy,None
17,Xe máy điện VinFast Feliz Neo,"Xe máy điện VinFast Feliz Neo hướng đến những người trưởng thành đô thị, bao gồm học sinh, sinh viên và nhân viên văn phòng, với thiết kế thanh lịch và khả năng vận hành mạnh mẽ, phù hợp cho nhu cầu di chuyển hàng ngày.",Ô Tô & Xe Máy,Vinfast
18,Xe máy điện VinFast Evo Lite Neo,"Xe máy điên VinFast Evo Lite Neo được thiết kế đặc biệt dành cho học sinh và sinh viên, với kiểu dáng trẻ trung, dễ điều khiển và chi phí vận hành thấp, phù hợp với phong cách sống năng động trong đô thị.",Ô Tô & Xe Máy,Vinfast
19,Xe máy điện VinFast Motio,"Xe máy điện VinFast Motio – thiết kế thời thượng, phong cách sành điệu “Sành điệu – Nổi bật – Chuẩn phong cách”, hướng đến Gen Z, Gen Alpha và người dùng hiện đại ",Ô Tô & Xe Máy,Vinfast
20,Mũ bảo hiểm 3/4 Royal M139,Mũ bảo hiểm openface,Ô Tô & Xe Máy,Royal
21,Mũ Bảo Hiểm 3/4 Royal M139,Mũ bảo hiểm openface,Ô Tô & Xe Máy,Royal
22,Mũ Bảo Hiểm Nửa Đầu Royal M88,Mũ bảo hiểm nửa đầu,Ô Tô & Xe Máy,Royal
23,Sách Kim Đồng - Tuổi Thơ Dữ Dội,"Tuổi Thơ Dữ Dội Tập 1

Công ty phát hành Kim Đồng

Tác giả: Phùng Quán

Số Trang  398

Ngày xuất bản 2024
Loại bìa Bìa mềm
Nhà xuất bản Nhà Xuất Bản Kim Đồng",Sách,VADATABOOKS
24,Sách - Thép Đã Tôi Thế Đấy,"Nhà Phát hành: Minh Thắng

Tác giả: Nikolai A.Ostrovsky

Nhà Xuất Bản: NXB Văn Học

Năm xuất bản: 2022

Dạng bìa: bìa mềm
Số trang: 780 trang
Kích thước: 14,5 x 20,5 cm",Sách,VADATABOOKS
25,Sách Huy Hoàng - Không Gia Đình,"Nhà Phát Hành Huy Hoàng
Tác giả: Hector Malot
Năm Xuất Bản : 2024
Như Phong (dịch)
Khổ sách: 16 x 24 cm
Số trang: 644
Nhà Xuất Bản  NXB Văn học",Sách,VADATABOOKS
26,Sách Đắc Nhân Tâm,"Tại sao Đắc Nhân Tâm luôn trong Top sách bán chạy nhất thế giới?
Bởi vì đó là cuốn sách mọi người đều nên đọc.
Hiện nay có một sự hiểu nhầm đã xảy ra. Tuy Đắc Nhân Tâm là tựa sách hầu hết mọi người đều biết đến, vì những danh tiếng và mức độ phổ biến, nhưng một số người lại “ngại” đọc. Lý do vì họ tưởng đây là cuốn sách “dạy làm người” nên có tâm lý e ngại. Có lẽ là do khi giới thiệu về cuốn sách, người ta luôn gắn với miêu tả đây là “nghệ thuật đối nhân xử thế”, “nghệ thuật thu phục lòng ngườ",Sách,VADATABOOKS
27,Sách Nhà Giả Kim,"Nhà Giả Kim
Tất cả những trải nghiệm trong chuyến phiêu du theo đuổi vận mệnh của mình đã giúp Santiago thấu hiểu được ý nghĩa sâu xa nhất của hạnh phúc, hòa hợp với vũ trụ và con người.",Sách,VADATABOOKS
28,Sách Zenbooks - Lộ Trình Học Tiếng Anh,500 câu hỏi giao tiếp thông dụng: Tương đương khoá học 2 tháng trong một lớp mất gốc ở trung tâm.,Sách,VADATABOOKS
29,Sách - Đi Tìm Lẽ Sống,"Đi tìm lẽ sống của Viktor Frankl là một trong những quyển sách kinh điển của thời đại. Thông thường, nếu một quyển sách chỉ có một đoạn văn, một ý tưởng có sức mạnh thay đổi cuộc sống của một người, thì chỉ riêng điều đó cũng đã đủ để chúng ta đọc đi đọc lại và dành cho nó một chỗ trên kệ sách của mình.",Sách,VADATABOOKS
30,Sách - Số Đỏ,"Việt Nam Danh Tác - Số Đỏ
Văn học Việt Nam thời xưa có nhiều tác phẩm có giá trị to lớn về mặt nhân văn và nghệ thuật, đã được công nhận và chứng thực qua thời gian.",Sách,VADATABOOKS
31,Bột giặt OMO Comfort hương hoa hồng Pháp túi 3.9kg,"Xoáy bay các vết bẩn cứng đầu chỉ sau 1 lần vò, giúp quần áo trắng sạch tinh tươm. Lưu hương thơm cho quần áo luôn ngát hương",Bột Giặt,Omo
32,Bột giặt OMO Comfort tinh dầu thơm nồng nàn túi 3.9kg,Xoáy bay vết bẩn cứng đầu chỉ sau 1 lần giặt cho quần áo trắng sạch tinh tươm và lưu lại hương thơm tươi mát dài lâu,Bột Giặt,Omo
33,Bột giặt OMO Comfort hương hoa hồng Pháp túi 700g,"Xoáy bay các vết bẩn cứng đầu chỉ sau 1 lần vò, giúp quần áo trắng sạch tinh tươm. Lưu hương thơm cho quần áo luôn ngát hương",Bột Giặt,Omo
34,Bột giặt Lix Extra hương chanh túi 5.5kg,Giặt sạch quần áo trắng sáng với hạt tẩy trắng quang học. Lưu lại mùi hương thơm ngát trên áo quần,Bột Giặt,Lix
35,Bột giặt Lix sạch thơm 24h ngát hương túi 5.5kg,"Sạch thơm như mới, cho quần áo thơm ngát suốt ngày dài",Bột Giặt,Lix
36,Bột giặt Lix Extra hương hoa túi 5.5kg,Tẩy sạch mọi vết bẩn cứng đầu cho quần áo luôn trắng sáng và bền màu,Bột Giặt,Lix
37,Bột giặt IZI HOME trắng ngát hương túi 3kg,"Đẩy mạnh các vết bẩn cứng đầu, giúp quần áo luôn thơm ngát và sáng như mới",Bột Giặt,IZI HOME
38,Bột giặt IZI HOME trắng sáng túi 3kg,"Giúp giặt sạch quần áo trắng sáng, chăm sóc sợi vải. Đánh tan những vết bẩn cứng đầu, vết bẩn bùn đất, vết bẩn ở cổ áo,...",Bột Giặt,IZI HOME
39,Bột giặt IZI HOME trắng thơm tho túi 500g,"Giúp giặt sạch quần áo trắng sáng, chăm sóc sợi vải. Những vết bẩn cứng đầu, vết bẩn bùn đất, vết bẩn ở cổ áo,... Thêm hương hoa thơm ngát cả ngày dài",Bột Giặt,IZI HOME
40,Bột giặt IZI HOME trắng tinh tươm túi 6kg,"Sodium linear alkylbenzene sulfonate, sodium carbonate, sodium sulfate, sodium silicate, sodium carboxymethyl cellulose, zeolite, disodium distyrylbiphenyl disulfonate, chất tạo hương, chất tạo màu.",Bột Giặt,IZI HOME
41,Thùng 30 gói mì Hảo 100 tôm chua cay 65g,"Cho vắt mì, gói súp bột và gói rau vào tô. Chế nước sôi vào khoảng 400ml, đậy nắp lại và chờ 3 phút. Trộn đều và dùng được ngay.",Mì Ăn Liền,Acecook
42,Thùng 30 gói mì Hảo Hảo tôm chua cay 75g,"Cho vắt mì, gói súp và gói dầu vào tô. Chế nước sôi vào khoảng 400 ml, đậy nắp lại và chờ 3 phút. Trộn đều và dùng được ngay.",Mì Ăn Liền,Acecook
43,Thùng 6 túi mì vắt Hảo Hảo 665g (10 vắt) (không gói gia vị),"Vắt mì - Bột mì, dầu cọ, tinh bột khoai mì, muối, chất bổ sung calci 12,49 g/kg (calci carbonat), đường, nước mắm, chất điều vị (621), chất làm ẩm (451(i)), chất ổn định (501(i)), chất điều chỉnh độ acid (500(i)), bột nghệ, phẩm màu curcumin tự nhiên, chất chống oxy hóa (320, 321).",Mì Ăn Liền,Acecook
44,Thùng 30 gói mì xào Hảo Hảo tôm xào chua ngọt 75g,"Cho vắt mì và gói rau sấy vào tô, chế nước sôi vào khoảng 400ml, đậy nắp lại và chờ 3 phút. Chắt phần nước ra hết. Cho gói súp sệt vào trộn đếu và dùng được ngay.",Mì Ăn Liền,Acecook
45,Thùng 24 gói phở bò Vifon 75g (có gói nước cốt bò),"Cho vắt phở và các gói gia vị vào tô. Chế khoảng 400ml nước sôi vào, đậy nắp lại trong 3 phút. Mở nắp, trộn đều là dùng được ngay.",Mì Ăn Liền,VIFON
46,Phở ăn liền Vifon vị gà gói 75g,"Cho vắt phở và các gói gia vị vào tô. Chế nước sôi vừa đủ (khoảng 400ml) và đậy kín tô trong 3 phút. Mở nắp, trộn đều và thưởng thức.",Mì Ăn Liền,VIFON
47,Lốc 5 gói phở bò tái lăn Đệ Nhất gói 68g,"Cho vắt phở và các gói gia vị vào tô, chế nước sôi vào khoảng 400ml, dậy nắp lại và chờ khoảng 3 phú",Mì Ăn Liền,Đệ Nhất
48,Lốc 5 gói phở gà Đệ Nhất gói 65g,"Cho vắt phở và các gói gia vị vào tô. Chế nước sôi vào khoảng 400 ml, đậy nắp lại và chờ 3 phút. Trộn đều và dùng được ngay.",Mì Ăn Liền,Đệ Nhất
49,Phở trộn Đệ Nhất vị thập cẩm cay gói 82g,"Cho vắt phở và gói rau sấy vào tô. Chế khoảng 400 ml nước sôi vào tô, đậy nắp lại chờ trong 3 phút. Chắt ráo nước. Cho gói súp sệt vào, trộn đều và dùng được ngay.",Mì Ăn Liền,Acecook
50,Hộp 4 bánh trung thu cao cấp Kinh Đô Trăng Vàng Hồng Ngọc An Nhiên vàng 640g,Hộp 4 bánh trung thu cao cấp,Bánh Kẹo Các Loại,KINH ĐÔ
51,Hộp 4 bánh trung thu Savoure Sung túc 600g,Hộp 4 bánh trung thu,Bánh Kẹo Các Loại,KINH ĐÔ
52,Hộp 5 bánh trung thu Kinh Đô Trăng Vàng Nguyệt Ánh Tường Vinh 400g,Hộp 5 bánh trung thu,Bánh Kẹo Các Loại,KINH ĐÔ
53,Bánh mì siêu hạt dinh dưỡng Otto gói 145g,Dùng ngay sau khi mở bao bì,Bánh Kẹo Các Loại,Otto
54,Bánh mì chà bông và sốt mayonnaise Floss Otto gói 55g,Ăn trực tiếp ngay sau khi đã mở bao bì,Bánh Kẹo Các Loại,Otto
55,Bánh Oreo Pie socola dâu hộp 180g (6 cái),"Sản phẩm có chứa trứng, sữa, đậu nành, lúa mì.",Bánh Kẹo Các Loại,OREO
56,Bánh Oreo Cadbury socola hộp 180g,"Sản phẩm có chứa trứng, sữa, đậu nành, lúa mì. Nên dùng cho trẻ từ 3 tuổi trở lên với liều lượng phù hợp.",Bánh Kẹo Các Loại,OREO
57,Bánh chocopie Orion Dark vị ca cao hộp 180g (6 cái),"Đường, bột mì, glucose syrup, shortening thực vật, chất béo thực vật không hydro hoá, bột ca cao, sữa bột nguyên kem, trứng, chất tạo xốp, đường dextrose, gelatin, muối i-ốt, hỗn hợp bột cacao và bơ cacao, hương tự nhiên và tổng hợp,...",Bánh Kẹo Các Loại,ORION
58,Bánh chocopie Orion hộp 198g (6 cái),"Bột mì, đường, glucose syrup, shortening thực vật, chất béo thực vật không hydro hoá, isomalto oligo syrup, bột cacao, sữa bột nguyên kem, trứng, chất tạo xốp, đường dextrose, gelatin, muối i-ốt,...",Bánh Kẹo Các Loại,ORION
59,Snack tôm xốt tương mật ong Oishi gói 70g,"Bột mì, tinh bột sắn, đường, tinh bột bắp, dầu ăn (với chất chống oxy hóa), tôm 6%, gia vị tôm nước tương mật ong, mật ong 4.5%, nước tương 4.5%, bột tôm hùm, hương thịt giống tự nhiên, bột kem không sữa, bột tỏi,. hành lá,....",Bánh Kẹo Các Loại,Oishi
60,Snack đậu xanh nước dừa Oishi gói 65g,"Bột mì, dầu ăn (với chất chống oxy hóa), bột gạo, bột bắp, đường, đậu xanh 6%, sữa bột gầy, muối i ốt, hương sữa dừa giống tự nhiên, chất nhũ hóa, màu thực phẩm tự nhiên, màu thực phẩm tổng hợp,...",Bánh Kẹo Các Loại,Oishi
61,Snack nhân socola vị hazelnut Oishi Pillows gói 85g,"Bột mì, bột gạo, đường, dầu ăn (với chất chống oxy hóa), bột kem không sữa, bột whey, bột cacao (3.7%), sữa bột, maltodextrin, muối i ốt, chất nhũ hóa, hương hazelnut giống tự nhiên, hương socola nhân tạo.",Bánh Kẹo Các Loại,Oishi
62,Snack que nhân vị kem Tiramisu Oishi Akiko gói 140g,"Bột mì, đường, gạo, dầu ăn (với chất chống oxy hóa), bột kem không sữa, bột sữa gầy, lactose, bột cacao, maltodextrin, canxi, cà phê, muối i ốt, chất nhũ hóa, chất ổn định, hương nhân tạo ( hương kem và tiramissu), vitamin C, vitamin A,...",Bánh Kẹo Các Loại,Oishi
63,Snack hành Oishi Onion Rings gói 32g,"Bột mì, tinh bột sắn, dầu ăn, khoai tây miếng, hành (1%), đường, muối, bột ngọt và chất chống oxy hoá (E320, E321).",Bánh Kẹo Các Loại,Oishi
64,Snack bắp vị phô mai Oishi gói 32g,"Bắp (36%), dầu ăn, bột mì, bột gạo, đường, hương bắp, muối i-ốt, bột ngọt và chất chống oxy hóa (E320, E321).",Bánh Kẹo Các Loại,Oishi
65,Snack vị tôm cay Oishi gói 32g,"Bột mì, tinh bột sắn, dầu ăn, tinh bột bắp, đường, tôm (2%), muối i-ốt, bột ngọt, gia vị cay, gia vị dấm, bột ớt, chiết xuất dành dành, màu thực phẩm tổng hợp và chất chống oxy hoá.",Bánh Kẹo Các Loại,Oishi
66,Snack pho mát miếng Oishi gói 32g,"Bột bắp, tinh bột sắn, dầu ăn, bột phô mai (3%), sữa không kem, muối i-ốt, đường, bột ngọt, bột nổi và anti-oxydant (E320 hoặc E321).",Bánh Kẹo Các Loại,Oishi
67,Snack chay vị da heo quay Oishi Marty's gói 32g,"Đậu Hà Lan, dầu ăn, tinh bột sắn, khoai tây miếng, đường, muối i ốt, bột tỏi, nước tương, hương thịt chay, bột ngọt, bột hành, màu thực phẩm (E129) và anti-oxydant (E319, E320 hoặc E321).",Bánh Kẹo Các Loại,Oishi
68,Bánh quy sữa Cosy Marie gói 240g,"Bột mì, dầu cọ, đường, chất tạo xốp (503(ii), 500(ii)), muối, hương thực phẩm tổng hợp, chất xử lý bột,...",Bánh Kẹo Các Loại,Cozy
69,Bánh quy sữa Cosy Marie gói 120g,"Bột mì, dầu cọ, đường, bột bắp, nước đường nghịch đảo, chất tạo xốp (500(ii), 503(ii)), mạch nha, bột sữa béo (0.6%), muối, canxi carbonat (170(i)), chất điều chỉnh độ acid (450(i), chất nhũ hoá (322(i)), hương thực phẩm tổng hợp (sữa, vani), DHA (docosa hexaenoic acid), chất xử lý bột (223, 1101(i)",Bánh Kẹo Các Loại,Cozy
70,Bánh bông lan kem cốm Custas hộp 138g (6 cái),"Trứng, bột mì, đường, dầu thực vật, hương tổng hợp, chất tạo xốp,...",Bánh Kẹo Các Loại,ORION
71,Dầu gội Clear 9 thảo dược cổ truyền làm sạch gàu giảm gãy rụng 618ml,"Bí quyết chăm sóc từ dân gian, giúp làm sạch gàu từ gốc, ngăn gàu tái phát đồng thời giản gãy rụng hơn 90%. Hỗ trợ mọc tóc, nuôi dưỡng tóc mềm mượt, bồng bềnh.",Chăm Sóc Cá Nhân,Clear
72,Dầu gội sạch gàu Clear mát lạnh bạc hà 854ml,"Làm ướt tóc, cho lượng vừa phải dầu gội trong lòng bàn tay sau đó xoa đều từ gốc đến ngọn tóc, rồi xả lại bằng nước sạch.",Chăm Sóc Cá Nhân,Clear
73,Dầu gội Clear Men Cool Sport bạc hà mát lạnh 874ml,"Công thức đặc biệt dành riêng cho nam giới với Bio Nutrium 10 và bạc hà giúp dưỡng sâu da đầu, ngăn gàu trở lại, đồng thời mang đến cảm giác mát lạnh tốt đỉnh, nuôi dưỡng tóc và da đầu.",Chăm Sóc Cá Nhân,Clear
74,Tắm gội 2 trong 1 X-Men Wood Sport hương nước hoa 900g,Hương nước hoa xạ hương và gỗ tuyết tùng.,Chăm Sóc Cá Nhân,X-Men
75,Nước mắm cá cơm than Knorr 15 độ đạm chai 750ml,"Nước, cốt nước mắm cá cơm, muối i ốt, chất điều vị, đường, hương liệu tổng hợp, chất điều chỉnh độ acid, chiết xuất nấm men, màu thực phẩm tự nhiên Caramen, chất bảo quản, chiết xuất trái dành dành, chất ổn định, chất tạo ngọt tổng hợp.",Gia Vị,Knorr
76,Nước mắm cá cơm than Knorr 15 độ đạm chai 242ml,"Nước, cốt nước mắm cá cơm, muối i ốt, chất điều vị, đường, hương liệu tổng hợp, chất điều chỉnh độ acid, chiết xuất nấm men, màu thực phẩm tự nhiên Caramen, chất bảo quản, chiết xuất trái dành dành, chất ổn định, chất tạo ngọt tổng hợp.",Gia Vị,Knorr
77,Nước mắm hương cá hồi hảo hạng Chinsu 16 độ đạm chai 500ml,"Nước, tinh cốt cá cơm, muối, đường, amino acid alanine, glycine, chất điều vị (621, 627, 631, 620), chất điều chỉnh độ acid (260, 330), hương cá hồi tổng hợp, chất bảo quản (202, 211), chất làm dày (415), chất tạo ngọt tổng hợp (951), màu tự nhiên (150a, 120).",Gia Vị,Chinsu
78,Nước mắm Chinsu cá cơm biển đông 25 độ đạm chai 720ml,"Nước mắm cốt, nước muối, đường, chất điều vị, hương liệu, chất điều chỉnh độ acid, chất tạo ngọt,...",Gia Vị,Chinsu
79,Hạt nêm Chinsu ngọt tôm thơm thịt gói 900g,"Muối, chất điều vị, đường, tinh bột khoai mì, nước cốt xương thịt, bột tôm, tôm khô, chất tạo ngọt,....",Gia Vị,Chinsu
80,"Hạt nêm Knorr thịt thăn, xương ống, tủy gói 400g","Muối, đường, bột sắn, thịt, bột xương ống & tủy, thịt thăn, hương thịt, hương nước dùng, mỡ, vitamin A, chất điều vị,...",Gia Vị,Knorr
81,Hạt nêm chay Knorr nấm hương organic gói 170g,"Muối, đường, dầu cọ, bột sắn, bột nấm hương, hương nấm hương, chất điều vị,...",Gia Vị,Knorr
82,Nước tương Chinsu tỏi ớt chai 330ml,"Nước, muối, khô đậu nành 65g/l, ớt 60g/l, tỏi 35g/l, chất điều vị (621,635), chất tạo màu caramen nhóm I tự nhiên, chất điều chỉnh độ acid (330), chất bảo quản (211), chất ổn định (415), chất tạo ngọt (aspartam, acesulfam kali), tổng hợp, chiết xuất tự nhiên 200mg/l, kali iodat 14,4mg/l.",Gia Vị,Chinsu
83,Nước tương Chinsu nấm Shiitake chai 330ml,"Nước, muối, khô đậu nành 40,4g/l, chất điều vị (621, 635), đường, chất tạo màu caramen nhóm I tự nhiên, chiết xuất nấm men, chất điều chỉnh độ acid (260, 330), hương liệu (tổng hợp, tự nhiên), chất ổn định (415), chất bảo quản (211), chất tạo ngọt (aspartam, acesulfam kali) tổng hợp, bột chiết xuất nấm hương Shiitake (*) 200 mg/l, kali iodat 18mg/l",Gia Vị,Chinsu
84,Bột ngọt hạt lớn Vedan gói 1kg,Monosodium Glutamate không thấp hơn 99%,Gia Vị,VEDAN
85,Bột ngọt hạt nhỏ Vedan gói 1kg,Monosodium Glutamate không thấp hơn 99%,Gia Vị,VEDAN
86,Tương ớt tròn 5 vị Knorr chai 450g,"Nước, ớt, đường, tỏi, cà chua, muối i-ốt, chất ổn định, muối i ốt, xi rô ngô fructose cao, giấm,...",Gia Vị,Knorr
87,Tương ớt Cholimex chai 830g,"Nước, ớt (25%), đường, cà chua, tỏi, muối ăn, dấm, chất ổn định Acetylated Distarch Adipad (1422), chất điều vị Mononatri glutamat (621), phẩm màu tổng hợp Sunset Yellow FCF (110), chất bảo quản Natri benzoat (211) hoặc Kali sorbat (202)",Gia Vị,VEDAN
88,Kem que Topten Vanila Wall's cây 60g,"Sản phẩm đến từ thương hiệu kem Wall's quen thuộc. Kem que Topten Vanila Wall's cây 60g kết hợp giữa lớp vỏ socola giòn tan và lớp kem vani thơm ngọt và mát lành bên trong, mang đến hương vị đầy lôi cuốn ngay từ miếng cắn đầu tiên.","Kem, Sữa Chua",WALL'S
89,Kem que Topten Socola Wall's 60g,"Sản phẩm đến từ thương hiệu kem Wall's quen thuộc. Kem que Topten Socola Wall's 60g với lớp vỏ socola đậu phộng giòn rụm cùng vị thơm ngon ngọt bùi của lớp kem socola bên trong, mang đến hương vị đầy lôi cuốn ngay từ miếng cắn đầu tiên.","Kem, Sữa Chua",WALL'S
90,Kem vani và hạt socola Celano cao cấp hộp 307g,"Kem Celano là một trong những dòng kem cao cấp, quen thuộc đối với người dùng. Kem vani và hạt socola Celano cao cấp hộp 307g mang đến cảm giác mát mẻ của kem vị kem vani béo bùi hòa quyện cùng hạt cà phê cao cấp thơm lừng đậm vị khó cưỡng, kích thích từ muỗng đầu tiên.","Kem, Sữa Chua",CELANO
91,Kem Caramel muối Celano cao cấp hộp 307g,"Kem Celano là một trong những dòng kem cao cấp, quen thuộc đối với người dùng. Kem Caramel muối Celano cao cấp hộp 307g mang đến cảm giác mát mẻ của kem vị kem caramel muối kết hợp hoàn hảo, thơm lừng béo ngậy chó chút mặn mặn kích thích vị giác siêu hiệu quả.","Kem, Sữa Chua",CELANO
92,Kem sữa tươi trân châu đường đen Celano cây 70g,"Kem cây Celano là một trong những dòng kem cao cấp, quen thuộc đối với người dùng. Sản phẩm kem sữa tươi trân châu đường đen Celano cây 70g mang đến cảm giác mát mẻ của kem cùng với trân châu giòn dai, vị trà sữa béo nhẹ, như đang thưởng thức 1 ly trà sữa thượng hạng.","Kem, Sữa Chua",CELANO
93,Nước ép táo Vinamilk 1 lít,"Nước ép Vinamilk là thương hiệu hàng đầu Việt Nam với các dòng sản phẩm nước ép trái cây chất lượng cao. Nước ép táo Vinamilk 1 lít từ 2kg táo ruột giòn được ép nguyên chất cho vị ngon ngọt thanh dịu nhẹ, bổ sung năng lượng, vitamin C và các dưỡng chất thiết yếu, khuyên dùng mỗi ngày.",Nước Giải Khát,Vinamilk
94,Thùng 24 lon nước ngọt Pepsi không calo 320ml,"Là loại nước ngọt được nhiều người yêu thích đến từ thương hiệu nước ngọt Pepsi nổi tiếng thế giới với hương vị thơm ngon, sảng khoái. Nước ngọt Pepsi không calo 24 lon 320ml với lượng gas lớn sẽ giúp bạn xua tan mọi cảm giác mệt mỏi, căng thẳng, sản phẩm không calo lành mạnh, tốt cho sức khỏe.",Nước Giải Khát,Pepsico
95,Thùng 24 lon nước ngọt Pepsi Cola 320ml,"Sản phẩm nước ngọt chính hãng từ thương hiệu nước ngọt Pepsi nổi tiếng toàn cầu, hương thơm hấp dẫn, vị ngọt ngon hài hòa cùng vị ga bùng nổ sảng khoái. Thùng 24 lon nước ngọt Pepsi Cola lon 320ml bổ sung năng lượng làm việc mỗi ngày, xua tan căng thẳng mệt mỏi.",Nước Giải Khát,Pepsico
96,6 lon nước ngọt soda chanh 7 Up 320ml,"Nước ngọt chính hãng thương hiệu nước ngọt 7Up uy tín được nhiều người ưa chuộng. 6 lon nước ngọt soda chanh 7 Up 320ml thơm ngon hấp dẫn với nước ép chanh thật, dồi dào, cung cấp vitamin C cho cơ thể, đặc biệt không đường không calo an toàn cho sức khỏe.",Nước Giải Khát,Pepsico
97,6 lon nước tăng lực Redbull Thái kẽm và vitamin 250ml,"Nước tăng lực Redbull là thương hiệu nước tăng lực rất được ưa thích trên thế giới. 6 lon nước tăng lực Redbull Thái Kẽm Vitamin 250ml thơm ngon uống sảng khoái, nay bổ sung thêm kẽm, vitamin B3, B5, B6, B12 cùng nhiều khoáng chất giúp cơ thể bù nước, bù khoáng, phục hồi năng lượng nhanh chóng.",Nước Giải Khát,RedBull
98,Nước tăng lực Monster Energy Pipeline Punch lon 355ml,"Nước tăng lực hương vị ổi và xoài thơm hấp dẫn, vị ga sảng khoái, dồi dào các thành phần dinh dưỡng giúp tăng lực hấp dẫn như vitamin, taurine, caffeine, inositol,...Nước tăng lực Monster Energy Pipeline Punch lon 355ml chính hãng nước tăng lực Monster được sản xuất tại Malaysia cho bạn cảm giác sảng khoái.",Nước Giải Khát,MONSTER
